Species,Units,Date,Year,Month,Day,Time,Value
NO,ug m-3,06/01/2017,2017,01,06,17,17.0
NO,ug m-3,06/01/2017,2017,01,06,18,8.6
NO,ug m-3,06/01/2017,2017,01,06,19,5.7
NO,ug m-3,06/01/2017,2017,01,06,20,3.6
NO,ug m-3,06/01/2017,2017,01,06,21,3.4
NO,ug m-3,06/01/2017,2017,01,06,22,2.3
NO,ug m-3,06/01/2017,2017,01,06,23,2.2
NO,ug m-3,07/01/2017,2017,01,07,0,1.2
NO,ug m-3,07/01/2017,2017,01,07,1,1.2
NO,ug m-3,07/01/2017,2017,01,07,2,0.8
NO,ug m-3,07/01/2017,2017,01,07,3,1.2
NO,ug m-3,07/01/2017,2017,01,07,4,2.0
NO,ug m-3,07/01/2017,2017,01,07,5,3.4
NO,ug m-3,07/01/2017,2017,01,07,6,11.3
NO,ug m-3,07/01/2017,2017,01,07,7,27.1
NO,ug m-3,07/01/2017,2017,01,07,8,33.7
NO,ug m-3,07/01/2017,2017,01,07,9,54.0
NO,ug m-3,07/01/2017,2017,01,07,10,44.5
NO,ug m-3,07/01/2017,2017,01,07,11,45.1
NO,ug m-3,07/01/2017,2017,01,07,12,41.7
NO,ug m-3,07/01/2017,2017,01,07,13,21.3
NO,ug m-3,07/01/2017,2017,01,07,14,22.6
NO,ug m-3,07/01/2017,2017,01,07,15,28.7
NO,ug m-3,07/01/2017,2017,01,07,16,24.7
NO,ug m-3,07/01/2017,2017,01,07,17,34.5
NO,ug m-3,07/01/2017,2017,01,07,18,32.5
NO,ug m-3,07/01/2017,2017,01,07,19,43.2
NO,ug m-3,07/01/2017,2017,01,07,20,47.3
NO,ug m-3,07/01/2017,2017,01,07,21,100.2
NO,ug m-3,07/01/2017,2017,01,07,22,87.0
NO,ug m-3,07/01/2017,2017,01,07,23,39.9
NO,ug m-3,08/01/2017,2017,01,08,0,39.3
NO,ug m-3,08/01/2017,2017,01,08,1,24.4
NO,ug m-3,08/01/2017,2017,01,08,2,17.5
NO,ug m-3,08/01/2017,2017,01,08,3,13.2
NO,ug m-3,08/01/2017,2017,01,08,4,14.3
NO,ug m-3,08/01/2017,2017,01,08,5,11.2
NO,ug m-3,08/01/2017,2017,01,08,6,30.5
NO,ug m-3,08/01/2017,2017,01,08,7,46.2
NO,ug m-3,08/01/2017,2017,01,08,8,37.0
NO,ug m-3,08/01/2017,2017,01,08,9,66.5
NO,ug m-3,08/01/2017,2017,01,08,10,62.8
NO,ug m-3,08/01/2017,2017,01,08,11,32.9
NO,ug m-3,08/01/2017,2017,01,08,12,16.1
NO,ug m-3,08/01/2017,2017,01,08,13,11.6
NO,ug m-3,08/01/2017,2017,01,08,14,6.6
NO,ug m-3,08/01/2017,2017,01,08,15,7.0
