Species,Units,Date,Year,Month,Day,Time,Value,Weekday
NO,ug m-3,07/01/2017,2017,1,7,19,21.6,SAT
NO,ug m-3,07/01/2017,2017,1,7,20,141.89999999999998,SAT
NO,ug m-3,07/01/2017,2017,1,7,21,300.6,SAT
NO,ug m-3,07/01/2017,2017,1,7,22,261.0,SAT
NO,ug m-3,07/01/2017,2017,1,7,23,119.69999999999999,SAT
NO,ug m-3,08/01/2017,2017,1,8,0,19.65,SUN
NO,ug m-3,08/01/2017,2017,1,8,1,12.2,SUN
NO,ug m-3,08/01/2017,2017,1,8,2,8.75,SUN
NO,ug m-3,08/01/2017,2017,1,8,3,6.6,SUN
NO,ug m-3,08/01/2017,2017,1,8,4,7.15,SUN
NO,ug m-3,08/01/2017,2017,1,8,5,5.6,SUN
NO,ug m-3,08/01/2017,2017,1,8,6,15.25,SUN
NO,ug m-3,08/01/2017,2017,1,8,7,23.1,SUN
NO,ug m-3,08/01/2017,2017,1,8,8,18.5,SUN
NO,ug m-3,08/01/2017,2017,1,8,9,33.25,SUN
NO,ug m-3,08/01/2017,2017,1,8,10,31.4,SUN
NO,ug m-3,08/01/2017,2017,1,8,11,16.45,SUN
NO,ug m-3,08/01/2017,2017,1,8,12,8.05,SUN
NO,ug m-3,08/01/2017,2017,1,8,13,5.8,SUN
NO,ug m-3,08/01/2017,2017,1,8,14,3.3,SUN
NO,ug m-3,08/01/2017,2017,1,8,15,3.5,SUN
NO,ug m-3,08/01/2017,2017,1,8,16,3.6,SUN
NO,ug m-3,08/01/2017,2017,1,8,17,9.25,SUN
NO,ug m-3,08/01/2017,2017,1,8,18,6.1,SUN
NO,ug m-3,08/01/2017,2017,1,8,19,7.2,SUN
NO,ug m-3,08/01/2017,2017,1,8,20,59.699999999999996,SUN
NO,ug m-3,08/01/2017,2017,1,8,21,53.099999999999994,SUN
NO,ug m-3,08/01/2017,2017,1,8,22,60.900000000000006,SUN
NO,ug m-3,08/01/2017,2017,1,8,23,30.299999999999997,SUN
NO,ug m-3,09/01/2017,2017,1,9,0,0.65,MON
NO,ug m-3,09/01/2017,2017,1,9,1,0.8,MON
NO,ug m-3,09/01/2017,2017,1,9,2,0.75,MON
NO,ug m-3,09/01/2017,2017,1,9,3,1.25,MON
NO,ug m-3,09/01/2017,2017,1,9,4,1.25,MON
NO,ug m-3,09/01/2017,2017,1,9,5,1.75,MON
NO,ug m-3,09/01/2017,2017,1,9,6,3.45,MON
NO,ug m-3,09/01/2017,2017,1,9,7,5.1,MON
NO,ug m-3,09/01/2017,2017,1,9,8,5.55,MON
